Longitude,Latitude,pH,EC,OC,N,P,K,S,Z,Fe,Cu,M,B
73.34499,19.1022,6.94,0.079,0.71,495.48,12.68,98.24,19.42,1.37,103.8,4.02,48.87,0.22
73.34499,19.1022,6.94,0.079,0.71,495.48,12.68,98.24,19.42,1.37,103.8,4.02,48.87,0.22
73.34222,19.1039,6.51,0.123,0.64,448.54,27.15,91.9,11.29,0.72,26.3,2.48,41.41,0.13
73.34222,19.1039,6.6,0.104,0.83,578.28,37.5,132.04,13.63,1.39,26.13,2.63,51.81,0.13
73.34167,19.3483,6.73,0.096,1.66,1163.37,21.44,188.03,18.56,3.16,34.59,3.6,56.85,0.08
73.34167,19.3483,6.53,0.092,0.72,504.13,29.47,139.44,12.46,1.07,14.86,2.46,41.46,0.21
73.34167,19.3483,6.53,0.092,0.72,504.13,29.47,139.44,12.46,1.07,14.86,2.46,41.46,0.21
73.34167,19.3483,6.53,0.092,0.72,504.13,29.47,139.44,12.46,1.07,14.86,2.46,41.46,0.21
73.34222,19.1033,7.74,0.348,0.97,679.57,13.1,124.65,5.641,1.6,38.36,5.31,67.46,16
73.33407,19.1042,7.67,0.096,1.13,792.02,30.63,33.8,4.43,1.71,38.45,5.52,62.72,0.12
73.33407,19.1042,7.67,0.096,1.13,792.02,30.63,33.8,4.43,1.71,38.45,5.52,62.72,0.12
73.33407,19.1042,7.22,0.053,0.72,504.13,16.27,50.7,8.04,1.81,18.13,1.31,42.76,0.09
73.33407,19.1042,6.83,0.137,1.63,1144.19,12.89,266.2,9.21,6.53,60.11,4.67,69.54,0.06
73.33407,19.1042,6.83,0.137,1.63,1144.19,12.89,266.2,9.21,6.53,60.11,4.67,69.54,0.06
73.34499,19.1022,7.04,0.204,1.84,1288.74,35.18,95.07,6.84,1.52,118.81,3.98,55.75,0.13
73.33028,19.1086,6.67,0.074,1.01,707.98,10.14,154.22,6.84,1.89,26.99,2.46,59.75,0.14
73.34424,19.111,7.31,0.141,0.88,615.33,43.42,96.13,8.04,1.853,27.62,1.66,35.69,0.19
73.34481,19.1028,7.12,0.135,1.5,1046.57,29.68,141.55,6.84,0.57,133.51,4.8,46.57,0.17
73.34481,19.1028,7.12,0.135,1.5,1046.57,29.68,141.55,6.84,0.57,133.51,4.8,46.57,0.17
73.34481,19.1028,7.12,0.135,1.5,1046.57,29.68,141.55,6.84,0.57,133.51,4.8,46.57,0.17
73.35532,19.3216,6.73,0.107,1.27,885.94,30.63,175.35,15.38,1.54,37.75,4.23,47.18,0.13
73.35532,19.3216,6.73,0.107,1.27,885.94,30.63,175.35,15.38,1.54,37.75,4.23,47.18,0.13
73.34167,19.3483,7.35,0.131,1.57,1096.01,29.15,54.93,11.29,0.93,56.05,1.663,44.72,0.15
73.34167,19.3483,7.35,0.131,1.57,1096.01,29.15,54.93,11.29,0.93,56.05,1.663,44.72,0.15
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.48,0.159,1.21,848.83,31.37,128.87,26.77,1.24,27.62,3.24,34.93,0.21
73.355,19.3169,6.48,0.159,1.21,848.83,31.37,128.87,26.77,1.24,27.62,3.24,34.93,0.21
73.34167,19.3483,7.19,0.077,1.06,745.08,14.89,101.41,27.6,1.22,420.2,5.01,51.94,0.11
73.34222,19.1039,7.05,0.096,1.33,932.87,31.58,173.24,18.56,1.24,48.45,5.77,16.74,0.15
73.34222,19.1033,7.23,0.532,0.25,153,8.55,489,0.87,0.26,0.22,1.25,0.11,0.36
73.34222,19.1033,7.23,0.532,0.25,153,8.55,489,0.87,0.26,0.22,1.25,0.11,0.36
73.34222,19.1033,7.23,0.532,0.25,153,8.55,489,0.87,0.26,0.22,1.25,0.11,0.36
73.34222,19.1033,7.19,0.218,1.77,1239.9,12.68,180.63,5.64,2.46,44.76,5.22,67.84,0.21
73.34499,19.1022,6.8,0.315,1.65,1153.48,33.27,403.52,24.25,4.44,58.78,5.41,62.53,0.12
73.34499,19.1022,6.83,0.259,0.97,679.57,51.02,222.89,3.83,1.64,18,3.35,59.94,0.14
73.34499,19.1022,6.83,0.259,0.97,679.57,51.02,222.89,3.83,1.64,18,3.35,59.94,0.14
73.35108,19.3499,7.92,0.095,0.89,625.22,23.03,91.9,9.81,1.79,37.92,2.8,61.21,0.1
73.35108,19.3499,7.92,0.095,0.89,625.22,23.03,91.9,9.81,1.79,37.92,2.8,61.21,0.1
73.355,19.3169,6.93,0.118,0.55,385.51,28.1,33.8,11.29,1.54,28.74,2.25,61.21,0.17
73.355,19.3169,6.93,0.118,0.55,385.51,28.1,33.8,11.29,1.54,28.74,2.25,61.21,0.17
73.35532,19.3216,7,0.119,1.61,1124.42,15.84,159.51,18.86,1.14,50.59,2.38,53.31,0.17
73.35532,19.3216,7,0.119,1.61,1124.42,15.84,159.51,18.86,1.14,50.59,2.38,53.31,0.17
73.34424,19.111,6.48,0.115,0.85,596.82,18.49,212.32,14.21,1.09,45.62,3.66,52.24,0.16
73.34424,19.111,6.48,0.115,0.85,596.82,18.49,212.32,14.21,1.09,45.62,3.66,52.24,0.16
73.34167,19.1039,6.97,0.108,1.45,1018.1,36.55,87.68,12.46,1.35,30.57,5.31,36.28,0.12
73.34222,19.1039,7.09,0.123,1.06,745.08,23.34,124.65,12.46,0.53,45.14,3.18,18.23,0.19
73.34222,19.1039,7.09,0.123,1.06,745.08,23.34,124.65,12.46,0.53,45.14,3.18,18.23,0.19
73.34222,19.1039,7.09,0.123,1.06,745.08,23.34,124.65,12.46,0.53,45.14,3.18,18.23,0.19
73.34222,19.1039,6.9,0.166,1.69,1182.49,23.03,408.8,12.46,1.31,50.53,2.21,41.88,0.16
73.34222,19.1039,7.08,0.177,1.31,914.35,29.05,1.06,12.46,0.72,25.67,3.45,50.26,0.1
73.33407,19.1042,7.15,0.098,1.04,726.56,9.93,333.8,6.84,18,16.49,3.43,62.83,0.21
73.33407,19.1042,7.56,0.051,0.62,431.24,10.88,55.99,23.96,0.76,19.54,1.96,52.51,0.1
73.33028,19.1086,6.6,0.104,0.98,689.45,27.57,117.25,4.43,1.62,20.13,3.24,59.46,0.15
73.33028,19.1086,6.6,0.104,0.98,689.45,27.57,117.25,4.43,1.62,20.13,3.24,59.46,0.15
73.34499,19.1022,7.12,0.212,1.77,1239.9,27.15,279.93,20.85,4.44,44.93,5.9,61.96,0.19
